intent,snippet
how can i get the list of names used in a formatting string?,get_format_vars('hello %(foo)s  there %(bar)s')
"set columns `['race_date', 'track_code', 'race_number']` as indexes in dataframe `rdata`","rdata.set_index(['race_date', 'track_code', 'race_number'])"
check if key 'stackoverflow' and key 'google' are presented in dictionary `sites`,"set(['stackoverflow', 'google']).issubset(sites)"
python pandas filtering out nan from a data selection of a column of strings,nms.dropna(thresh=2)
correct way of implementing cherrypy's autoreload module,cherrypy.quickstart(Root())
pythonic way to assign the parameter into attribute?,"setattr(self, k, v)"
getting the second to last element of list `some_list`,some_list[(-2)]
create a list containing elements from list `list` that are predicate to function `f`,[f(x) for x in list]
print a digit `your_number` with exactly 2 digits after decimal,print('{0:.2f}'.format(your_number))
sort list `mylist` alphabetically,mylist.sort(key=lambda x: x.lower())
python byte string encode and decode,"""""""foo"""""".decode('latin-1')"
"python: how to ""fork"" a session in django","return render(request, 'organisation/wall_post.html', {'form': form})"
how to get an arbitrary element from a frozenset?,"[random.sample(s, 1)[0] for _ in range(10)]"
drop column based on a string condition,"df.drop(df.columns[df.columns.str.match('chair')], axis=1)"
add leading zeros to strings in pandas dataframe,df['ID'] = df['ID'].apply(lambda x: '{0:0>15}'.format(x))
sunflower scatter plot using matplotlib,plt.show()
get a list of the keys in each dictionary in a dictionary of dictionaries `foo`,[k for d in list(foo.values()) for k in d]
sort dictionary `mydict` in descending order based on the sum of each value in it,"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]"
django circular model reference,team = models.ForeignKey('Team')
match the pattern '[:;][)(](?![)(])' to the string `str`,"re.match('[:;][)(](?![)(])', str)"
"add row `['8/19/2014', 'jun', 'fly', '98765']` to dataframe `df`","df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']"
matplotlib: formatting dates on the x-axis in a 3d bar graph,plt.show()
python - how to calculate equal parts of two dictionaries?,"d3 = {k: list(set(d1.get(k, [])).intersection(v)) for k, v in list(d2.items())}"
round number 1.005 up to 2 decimal places,"round(1.005, 2)"
pls-da algorithm in python,mypred = myplsda.predict(Xdata)
"set the y axis range to `0, 1000` in subplot using pylab","pylab.ylim([0, 1000])"
plotting categorical data with pandas and matplotlib,df.colour.value_counts().plot(kind='bar')
using python to extract dictionary keys within a list,names = [item['name'] for item in data]
how to sort pandas data frame using values from several columns?,"df.sort(['c1', 'c2'], ascending=[False, True])"
how can i get the previous week in python?,"start_delta = datetime.timedelta(days=weekday, weeks=1)"
generate a random 12-digit number,"int(''.join(str(random.randint(0, 9)) for _ in range(12)))"
functional statement in python to return the sum of certain lists in a list of lists,sum(len(y) for y in x if len(y) > 1)
set execute bit for a file using python,"os.chmod('my_script.sh', 484)"
convert hex string `hexstring` to int,"int(hexString, 16)"
multiple data set plotting with matplotlib.pyplot.plot_date,plt.show()
execute python code `myscript.py` in a virtualenv `/path/to/my/venv` from matlab,system('/path/to/my/venv/bin/python myscript.py')
python: find in list,"[i for i, x in enumerate([1, 2, 3, 2]) if x == 2]"
python implementation of jenkins hash?,"hash, hash2 = hashlittle2(hashstr, 3735928559, 3735928559)"
if/else statements accepting strings in both capital and lower-case letters in python,"""""""3"""""".lower()"
"python: create a ""with"" block on several context managers",do_something()
add variable `var` to key 'f' of first element in json data `data`,data[0]['f'] = var
how to initialize a two-dimensional array in python?,[[Foo() for x in range(10)] for y in range(10)]
decode unicode string `s` into a readable unicode literal,s.decode('unicode_escape')
convert binary string '11111111' to integer,"int('11111111', 2)"
fixing color in scatter plots in matplotlib,plt.show()
python pandas dataframe slicing by date conditions,df.sort_index()
python pandas - how to flatten a hierarchical index in columns,df.columns = df.columns.get_level_values(0)
expanding numpy array over extra dimension,"np.tile(b, (2, 2, 2))"
python pandas: replace values multiple columns matching multiple columns from another dataframe,"df2.rename(columns={'OCHR': 'chr', 'OSTOP': 'pos'}, inplace=True)"
finding the index of elements based on a condition using python list comprehension,a[:] = [x for x in a if x <= 2]
converting string to tuple,"print([(x[0], x[-1]) for x in l])"
smartest way to join two lists into a formatted string,"c = ', '.join('%s=%s' % t for t in zip(a, b))"
dynamically updating plot in matplotlib,plt.draw()
replace rarely occurring values in a pandas dataframe,g = df.groupby('column_name')
numpy `logical_or` for more than two arguments,"np.logical_or.reduce((x, y, z))"
python: sort an array of dictionaries with custom comparator?,"key = lambda d: (not 'rank' in d, d['rank'])"
wait for shell command `p` evoked by  subprocess.popen to complete,p.wait()
get the sum of the products of each pair of corresponding elements in lists `a` and `b`,"sum(x * y for x, y in zip(a, b))"
how to replace values with none in pandas data frame in python?,"df.replace('-', np.nan)"
how to join components of a path when you are constructing a url in python,"urlparse.urljoin('/media/', 'js/foo.js')"
python - how to format variable number of arguments into a string?,"function_in_library('Hello %s' % ', '.join(['%s'] * len(my_args)), my_args)"
iterate through words of a file in python,words = open('myfile').read().split()
get the common prefix from comparing two absolute paths '/usr/var' and '/usr/var2/log',"os.path.commonprefix(['/usr/var', '/usr/var2/log'])"
"elegant way to create a dictionary of pairs, from a list of tuples?",dict(x[1:] for x in reversed(myListOfTuples))
remove all the elements that occur in one list from another,l3 = [x for x in l1 if x not in l2]
create new columns in pandas from python nested lists,"df.A.apply(lambda x: pd.Series(1, x)).fillna(0).astype(int)"
how to sort list of lists according to length of sublists,"sorted(a, key=len)"
print current date and time in a regular format,time.strftime('%Y-%m-%d %H:%M')
regex to separate numeric from alpha,"re.findall('(\\d+|[a-zA-Z]+)', '12fgsdfg234jhfq35rjg')"
confusing with the usage of regex in python,"re.findall('[a-z]*', '123456789')"
python int to binary?,bin(10)
python getting a list of value from list of dict,[d['value'] for d in l]
filter objects month wise in django model `sample` for year `2011`,"Sample.objects.filter(date__year='2011', date__month='01')"
how to flatten a pandas dataframe with some columns as json?,"df[['id', 'name']].join([A, B])"
sort list of tuples by reordering tuples,"sorted(A, key=operator.itemgetter(2, 0, 1))"
encode `u'x\xc3\xbcy\xc3\x9f'` as unicode and decode with utf-8,'X\xc3\xbcY\xc3\x9f'.encode('raw_unicode_escape').decode('utf-8')
how to create a ratings csr_matrix in scipy?,"scipy.sparse.csr_matrix([column['rating'], column['user'], column['movie']])"
find dictionary items whose key matches a substring,"[value for key, value in list(programs.items()) if 'new york' in key.lower()]"
how to iterate through a list of tuples containing three pair values?,"[(1, 'B', 'A'), (2, 'C', 'B'), (3, 'C', 'A')]"
printing numbers rounding up to third decimal place,print('%.3f' % 3.1415)
how to do pearson correlation of selected columns of a pandas data frame,"df.corr().iloc[:-1, (-1)]"
matplotlib artist to stay same size when zoomed in but also move with panning?,plt.show()
"convert a string of numbers `example_string` separated by `,` into a list of integers","map(int, example_string.split(','))"
how to create a dictionary using two lists in python?,"dict(zip(x, y))"
append to file 'test1' content 'koko',"with open('test1', 'ab') as f:
    pass"
running python code contained in a string,print('hello')
remove newline in string `s` on the left side,s.lstrip()
most pythonic way to convert a list of tuples,zip(*list_of_tuples)
extracting only characters from a string in python,""""""" """""".join(re.split('[^a-zA-Z]*', 'your string'))"
how to use the mv command in python with subprocess,"subprocess.call(['mv', '/home/somedir/subdir/*', 'somedir/'])"
split string 'fooxyzbar' based on case-insensitive matching using string 'xyz',"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')"
remove duplicates from a list of sets 'l',[set(item) for item in set(frozenset(item) for item in L)]
selecting data between specific hours in a pandas dataframe,df_new = df[(df['time'] > start_time) & (df['time'] < end_time)]
regex to get list of all words with specific letters (unicode graphemes),"print(' '.join(get_words(['k', 'c', 't', 'a'])))"
idiom for flattening a shallow nested list: how does it work?,[x for y in l for x in y]
python regex to match non-ascii names,"regexRef = re.compile('\\w', re.UNICODE)"
match zero-or-more instances of lower case alphabet characters in a string `f233op `,"re.findall('([a-z]*)', 'f233op')"
numpy:  check if array 'a' contains all the numbers in array 'b'.,numpy.array([(x in a) for x in b])
using headers with the python requests library's get method,"r = requests.get('http://www.example.com/', headers={'content-type': 'text'})"
python: getting rid of \u200b from a string using regular expressions,"'used\u200b'.replace('\u200b', '*')"
regular expression to return all characters between two special characters,match.group(1)
flask confusion with app,app = Flask(__name__)
python: test if value can be converted to an int in a list comprehension,[row for row in listOfLists if row[x].isdigit()]
how can i backup and restore mongodb by using pymongo?,db.col.find({'price': {'$lt': 100}})
how to create a list with the characters of a string?,"['5', '+', '6']"
how to continue a task when fabric receives an error,sudo('rm tmp')
save a subplot in matplotlib,fig.savefig('full_figure.png')
json query that returns parent element and child data?,"dict((k, v['_status']['md5']) for k, v in list(json_result.items()))"
get list item by attribute in python,items = [item for item in container if item.attribute == value]
find a specific tag with beautifulsoup,"soup.findAll('div', style='width=300px;')"
how to set the unit length of axis in matplotlib?,plt.show()
sort list of mixed strings based on digits,"sorted(l, key=lambda x: int(re.search('\\d+', x).group(0)))"
"check the status code of url ""http://www.stackoverflow.com""",urllib.request.urlopen('http://www.stackoverflow.com').getcode()
is there a python equivalent to ruby's string interpolation?,"""""""my {0} string: {1}"""""".format('cool', 'Hello there!')"
unpack first and second bytes of byte string `ps` into integer,"struct.unpack('h', pS[0:2])"
extract the 2nd elements from a list of tuples,[x[1] for x in elements]
"convert a list with string `['1', '2', '3']` into list with integers","map(int, ['1', '2', '3'])"
intersection of 2d and 1d numpy array,"A[:, 3:].flat[np.in1d(A[:, 3:], B)] = 0"
generate 6 random numbers between 1 and 50,"random.sample(range(1, 50), 6)"
python - how to format variable number of arguments into a string?,"'Hello %s' % ', '.join(map(str, my_args))"
get keys with same value in dictionary `d`,print([key for key in d if d[key] == 1])
code to detect all words that start with a capital letter in a string,print([word for word in words if word[0].isupper()])
passing the '+' character in a post request in python,"f = urllib.request.urlopen(url, urllib.parse.unquote(urllib.parse.urlencode(params)))"
find numpy array rows which contain any of list,"np.in1d(a, b).reshape(a.shape).any(axis=1)"
confusing with the usage of regex in python,"re.findall('([a-z])*', 'f233op')"
create list of dictionary python,"[{'data': 2}, {'data': 2}, {'data': 2}]"
merge column  'word' in dataframe `df2` with column 'word' on dataframe `df1`,"df1.merge(df2, how='left', on='word')"
substract 1 hour and 10 minutes from current time,"t = datetime.datetime.now()
(t - datetime.timedelta(hours=1, minutes=10))"
make tkinter widget take focus,root.mainloop()
how to get the current model instance from inlineadmin in django,"return super(MyModelAdmin, self).get_form(request, obj, **kwargs)"
getting the docstring from a function,help(my_func)
post json to python cgi,print(json.dumps(result))
read pandas data frame csv `comma.csv` with extra commas in column specifying string delimiter `'`,"df = pd.read_csv('comma.csv', quotechar=""'"")"
how to draw line inside a scatter plot,ax.set_ylabel('TPR or sensitivity')
passing variable from javascript to server (django),document.getElementById('geolocation').submit()
regenerate vector of randoms in python,"np.random.normal(0, 1, (100, 3))"
how can i slice each element of a numpy array of strings?,"a.view('U1').reshape(4, -1)[:, 1:3]"
join elements of each tuple in list `a` into one string,[''.join(x) for x in a]
splitting numpy array based on value,zeros = np.where(a == 0)[0]
"how to duplicate rows in pandas, based on items in a list",df['data'] = df['data'].apply(clean_string_to_list)
clear tkinter canvas `canvas`,canvas.delete('all')
python load zip with modules from memory,zipfile.ZipFile(zipbytes)
what is the most efficient way to remove a group of indices from a list of numbers in python 2.7?,return [numbers[i] for i in range(len(numbers)) if i not in indices]
reshape pandas dataframe from rows to columns,df2.groupby('Name').apply(tgrp)
how do i convert a string of hexadecimal values to a list of integers?,"struct.unpack('11B', s)"
reading gps rinex data with pandas,"df.set_index(['%_GPST', 'satID'])"
"search for ""does-not-contain"" on a dataframe in pandas",~df['col'].str.contains(word)
pythonic way to convert list of dicts into list of namedtuples,"items = [some(m['a'].split(), m['d'], m['n']) for m in dl]"
remove tags from a string `mystring`,"re.sub('<[^>]*>', '', mystring)"
how do i can format exception stacktraces in python logging?,logging.info('Sample message')
how do i create a list of unique random numbers?,"random.sample(list(range(100)), 10)"
delete digits at the end of string `s`,"re.sub('\\b\\d+\\b', '', s)"
"in python, how do i index a list with another list?",T = [L[i] for i in Idx]
get values from a dictionary `my_dict` whose key contains the string `date`,"[v for k, v in list(my_dict.items()) if 'Date' in k]"
"using flask blueprints, how to fix url_for from breaking if a subdomain is specified?",app.config['SERVER_NAME'] = 'example.net'
python append to array in json object,jsobj['a']['b']['e'].append(dict(f=var3))
find the euclidean distance between two 3-d arrays `a` and `b`,np.sqrt(((A - B) ** 2).sum(-1))
python: confusions with urljoin,"urljoin('http://some', 'thing')"
understanding == applied to a numpy array,np.arange(3)
capitalizing non-ascii words in python,print('\xe9'.capitalize())
sorting a defaultdict `d` by value,"sorted(list(d.items()), key=lambda k_v: k_v[1])"
how to compare dates in django,return date.today() > self.date
execute shell script from python with variable,"subprocess.call(['test.sh', str(domid)])"
convert a date string `s` to a datetime object,"datetime.datetime.strptime(s, '%Y-%m-%dT%H:%M:%SZ')"
how do i create a web interface to a simple python script?,app.run()
stacked bar chart with differently ordered colors using matplotlib,plt.show()
matplotlib boxplot without outliers,"boxplot([1, 2, 3, 4, 5, 10], showfliers=False)"
"generate all permutations of list `[1, 2, 3]` and list `[4, 5, 6]`","print(list(itertools.product([1, 2, 3], [4, 5, 6])))"
python dictionary to url parameters,"urllib.parse.urlencode({'p': [1, 2, 3]}, doseq=True)"
how to group dataframe by a period of time?,"df.groupby([df['Source'], pd.TimeGrouper(freq='Min')])"
"get items from a dictionary `bigdict` where the keys are present in `('l', 'm', 'n')`","{k: bigdict.get(k, None) for k in ('l', 'm', 'n')}"
selecting elements of a python dictionary greater than a certain value,"{k: v for k, v in list(dict.items()) if v > something}"
how to write a multidimensional array to a text file?,"np.savetxt('test.txt', x)"
remove strings from a list that contains numbers in python,my_list = [item for item in my_list if item.isalpha()]
for loop in python,"list(range(0, 30, 5))"
extract all keys from a list of dictionaries,[list(d.keys()) for d in LoD]
"how to slice a 2d python array? fails with: ""typeerror: list indices must be integers, not tuple""","array([[1, 3], [4, 6], [7, 9]])"
python: convert list of key-value tuples into dictionary?,"dict([('A', 1), ('B', 2), ('C', 3)])"
matplotlib large set of colors for plots,plt.show()
"check if a user `user` is in a group from list of groups `['group1', 'group2']`","return user.groups.filter(name__in=['group1', 'group2']).exists()"
how do i merge a 2d array in python into one string with list comprehension?,[item for innerlist in outerlist for item in innerlist]
python regex alternative for join,"re.sub('(.)(?=.)', '\\1-', s)"
filtering out strings that contain 'ab' from a list of strings `lst`,[k for k in lst if 'ab' in k]
"how to draw ""two directions widths line"" in matplotlib",plt.show()
writing hex data into a file,f.write(hex(i))
how to terminate process from python using pid?,process.terminate()
writing a list of sentences to a single column in csv with python,"writer.writerows(['Hi, there'])"
dictionary keys match on list; get key/value pair,new_dict = {k: my_dict[k] for k in my_list if k in my_dict}
string regex two mismatches python,"re.findall('(?=([A-Z]SQP|S[A-Z]QP|SS[A-Z]P|SSQ[A-Z]))', s)"
find max in nested dictionary,"max(d, key=lambda x: d[x]['count'])"
how to update matplotlib's imshow() window interactively?,draw()
break string into list elements based on keywords,"['Na', '1', 'H', '1', 'C', '2', 'H', '3', 'O', '2']"
select dataframe rows between two dates,df['date'] = pd.to_datetime(df['date'])
escaping quotes in string,"replace('""', '\\""')"
create dynamic button in pyqt,button.clicked.connect(self.commander(command))
pandas: counting unique values in a dataframe,"pd.value_counts(d[['col_title1', 'col_title2']].values.ravel())"
efficient way to convert a list to dictionary,"{k: v for k, v in (e.split(':') for e in lis)}"
how to plot empirical cdf in matplotlib in python?,plt.show()
gnuplot linecolor variable in matplotlib?,plt.show()
how to run spark java code in airflow?,"sys.path.append(os.path.join(os.environ['SPARK_HOME'], 'bin'))"
parsing json fields in python,print(b['indices']['client_ind_2']['index'])
how do i connect to a mysql database in python?,cur.execute('SELECT * FROM YOUR_TABLE_NAME')
"remove characters ""!@#$"" from a string `line`","line.translate(None, '!@#$')"
listing files from a directory using glob python,glob.glob('[!hello]*.txt')
find the index of the element with the maximum value from a list 'a'.,"max(enumerate(a), key=lambda x: x[1])[0]"
upload files to google cloud storage from appengine app,"upload_url = blobstore.create_upload_url('/upload', gs_bucket_name='my_bucket')"
how can i list only the folders in zip archive in python?,[x for x in file.namelist() if x.endswith('/')]
how do you set up a flask application with sqlalchemy for testing?,app.run()
match regex 'abc(de)fg(123)' on string 'abcdefg123 and again abcdefg123',"re.findall('abc(de)fg(123)', 'abcdefg123 and again abcdefg123')"
python + mysqldb executemany,cursor.close()
creating a list by iterating over a dictionary,"['{}_{}'.format(k, v) for k, l in list(d.items()) for v in l]"
remove newline in string `s` on the right side,s.rstrip()
how can i insert a new tag into a beautifulsoup object?,"self.new_soup.body.insert(3, new_tag)"
how can i vectorize the averaging of 2x2 sub-arrays of numpy array?,"y.mean(axis=(1, 3))"
get only certain fields of related object in django,"Comment.objects.filter(user=user).values_list('user__name', 'user__email')"
most efficient method to get key for similar values in a dict,"trie = {'a': {'b': {'e': {}, 's': {}}, 'c': {'t': {}, 'k': {}}}}"
"how to make a python script which can logoff, shutdown, and restart a computer?","subprocess.call(['shutdown', '/r'])"
how to do simple http redirect using python?,print('Location:URL\r\n')
python date string formatting,my_date.strftime('%-m/%-d/%y')
how to hide output of subprocess in python 2.7,"retcode = os.system(""echo 'foo' &> /dev/null"")"
how to check whether a method exists in python?,"hasattr(Dynamo, 'mymethod') and callable(getattr(Dynamo, 'mymethod'))"
convert double to float in python,"struct.unpack('f', struct.pack('f', 0.00582811585976))"
efficient way to convert a list to dictionary,dict([x.split(':') for x in a])
how to remove gaps between subplots in matplotlib?,plt.show()
delete an element `key` from a dictionary `d`,del d[key]
reading a triangle of numbers into a 2d array of ints in python,arr = [[int(i) for i in line.split()] for line in open('input.txt')]
extract data field 'bar' from json object,"json.loads('{""foo"": 42, ""bar"": ""baz""}')['bar']"
pandas create new column based on values from other columns,"df.apply(lambda row: label_race(row), axis=1)"
editing the date formatting of x-axis tick labels in matplotlib,ax.xaxis.set_major_formatter(myFmt)
create a list of integers with duplicate values in python,"print([u for v in [[i, i] for i in range(5)] for u in v])"
select `div` tags whose `id`s begin with `value_xxx_c_1_f_8_a_`,"soup.select('div[id^=""value_xxx_c_1_f_8_a_""]')"
how do i sort a list of strings in python?,mylist.sort(key=str.lower)
reverse a string `a` by 2 characters at a time,""""""""""""".join(reversed([a[i:i + 2] for i in range(0, len(a), 2)]))"
"slice `url` with '&' as delimiter  to get  ""http://www.domainname.com/page?content_item_id=1234"" from url ""http://www.domainname.com/page?content_item_id=1234&param2&param3
""",url.split('&')
count occurrence of a character in a string,"""""""Mary had a little lamb"""""".count('a')"
how do i display add model in tabular format in the django admin?,"{'fields': ('first_name', 'last_name', 'address', 'city', 'state')}"
how to sort with lambda in python,"a = sorted(a, key=lambda x: x.modified, reverse=True)"
get key-value pairs in dictionary `my_dictionary` for all keys in list `my_list` in the order they appear in `my_list`,"dict(zip(my_list, map(my_dictionary.get, my_list)))"
"is it possible to take an ordered ""slice"" of a dictionary in python based on a list of keys?","map(my_dictionary.get, my_list)"
best way to strip punctuation from a string in python,"s.translate(None, string.punctuation)"
how to parse dates with -0400 timezone string in python?,"datetime.strptime('2009/05/13 19:19:30 -0400', '%Y/%m/%d %H:%M:%S %z')"
sum a list of numbers in python,sum(Decimal(i) for i in a)
pandas for duplicating one line to fill dataframe,newsampledata.reindex(newsampledata.index.repeat(n)).reset_index(drop=True)
adding a string to a list,b.append(c)
pandas: best way to select all columns starting with x,df.columns.map(lambda x: x.startswith('foo'))
how to clip polar plot in pylab/pyplot,plt.show()
is it possible to tune parameters with grid search for custom kernels in scikit-learn?,"model.fit(X_train, y_train)"
how to make a log log histogram in python,plt.show()
how do you get the current text contents of a qcombobox?,text = str(combobox1.currentText())
how to make python format floats with certain amount of significant digits?,"""""""{0:.6g}"""""".format(3.539)"
is there a way to suppress printing that is done within a unit test?,unittest.main()
python: how to sort a list of dictionaries by several values?,"sorted(A, key=itemgetter('name', 'age'))"
"in python, how to display current time in readable format","time.strftime('%l:%M%p %z on %b %d, %Y')"
"extract elements at indices (1, 2, 5) from a list `a`","[a[i] for i in (1, 2, 5)]"
for loop in python,"list(range(1, 11))"
how to extract tuple values in pandas dataframe for use of matplotlib?,"pd.pivot(index=df['B1'], columns=df.index, values=df['B2']).plot()"
count the number of true values associated with key 'success' in dictionary `d`,sum(1 if d['success'] else 0 for d in s)
how do i read the first line of a string?,"my_string.split('\n', 1)[0]"
creating link to an url of flask app in jinja2 template,"{{url_for('static', filename='[filenameofstaticfile]')}}"
how do i set permissions (attributes) on a file in a zip file using python's zipfile module?,"zipfile.writestr(zipinfo, '')"
how to get a list of all integer points in an n-dimensional cube using python?,"list(itertools.product(list(range(-x, y)), repeat=dim))"
"how do i modify a single character in a string, in python?",print(''.join(a))
convert binary string '01010101111' to integer,"int('01010101111', 2)"
a list as a key for pyspark's reducebykey,"rdd.map(lambda k_v: (set(k_v[0]), k_v[1])).groupByKey().collect()"
python - differences between elements of a list,"[(j - i) for i, j in zip(t[:-1], t[1:])]"
rearrange tuple of tuples in python,tuple(zip(*t))
taking the results of a bash command and using it in python,os.system('top -d 30 | grep %d > test.txt' % pid)
how to unpack a dictionary of list (of dictionaries!) and return as grouped tuples?,"[('A', 1, 2), ('B', 3, 4)]"
how do i print the content of a .txt file in python?,f.close()
remove a specific column in numpy,"np.delete(a, [1, 3], axis=1)"
django-piston: how can i get app_label + model_name?,instance.__class__.__name__
"histogram in matplotlib, time on x-axis",ax.xaxis.set_major_formatter(mdates.DateFormatter('%d.%m.%y'))
setting path to firefox binary on windows with selenium webdriver,driver = webdriver.Firefox()
pandas remove column by index,"df = df.ix[:, 0:2]"
rename index of a pandas dataframe,"df.ix['c', '3']"
django - filter queryset by charfield value length,MyModel.objects.filter(text__regex='^.{254}.*')
get keys and items of dictionary `d` as a list,list(d.items())
how to get every element in a list of list of lists?,[a for c in Cards for b in c for a in b]
"extracting a region from an image using slicing in python, opencv","cv2.cvtColor(img, cv2.COLOR_BGR2RGB)"
how to save pandas pie plot to a file,fig.savefig('~/Desktop/myplot.pdf')
convert a list of strings to either int or float,[(float(i) if '.' in i else int(i)) for i in s]
remove a level from a pandas multiindex,MultiIndex.from_tuples(index_3levels.droplevel('l3').unique())
python: how do i use itertools?,"list(itertools.product(list(range(2)), repeat=3))"
is there a way to split a string by every nth separator in python?,"print(['-'.join(words[i:i + span]) for i in range(0, len(words), span)])"
pandas subtract a row from dataframe `df2` from dataframe `df`,"pd.DataFrame(df.values - df2.values, columns=df.columns)"
how can i get dict from sqlite query?,cur.execute('select 1 as a')
correct code to remove the vowels from a string in python,""""""""""""".join([l for l in c if l not in vowels])"
compare two columns using pandas,df2 = df.astype(float)
how to create matplotlib colormap that treats one value specially?,plt.show()
get last day of the first month in year 2000,"(datetime.date(2000, 2, 1) - datetime.timedelta(days=1))"
combining rows in pandas,df.reset_index().groupby('city_id').sum()
pandas + dataframe - select by partial string,df[df['A'].str.contains('hello')]
how to get full path of current file's directory in python?,os.path.dirname(os.path.abspath(__file__))
additional empty elements when splitting a string with re.split,"re.findall('\\w+="".*?""', comp)"
how do you select choices in a form using python?,form['favorite_cheese'] = ['brie']
get a list of all the duplicate items in dataframe `df` using pandas,"pd.concat(g for _, g in df.groupby('ID') if len(g) > 1)"
"how to get files in a directory, including all subdirectories","print(os.path.join(dirpath, filename))"
fastest way to count number of occurrences in a python list,"Counter({'1': 6, '2': 4, '7': 3, '10': 2})"
python : how to remove duplicate lists in a list of list?,b.sort(key=lambda x: a.index(x))
lambda in python,"f = lambda x, y: x + y"
